MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	102.54224	Sec	7/5/2010 1:24:13 PM
Axial Displacement	Axial Force	Axial Strain	Time
mm	N	mm/mm	Sec
0.0003604269	-0.83646256	-0.18658774	24.162354
0.00031826034	0.52562016	-0.18657835	24.262451
0.0013644747	0.50445396	-0.18663359	24.362549
2.797082e-05	-0.19748306	-0.18671155	24.462646
9.4027666e-05	-1.0961189	-0.18674448	24.562744
-0.00079368294	-1.7365738	-0.18670806	24.662842
-7.0212933e-05	-1.6352652	-0.18662968	24.762939
0.00029170647	-0.58774805	-0.18657523	24.863037
-0.00034673378	0.46525997	-0.18658431	24.963135
0.00036206603	0.38190517	-0.18665506	25.063232
0.0013526729	-0.37667826	-0.18672258	25.16333
-0.00069713831	-1.3083051	-0.18674302	25.263428
-0.00074123085	-1.9802759	-0.18669331	25.363525
0.00036419689	-1.6526322	-0.18662651	25.463623
-0.0001647906	-0.17356001	-0.18657406	25.563721
6.8621186e-05	0.47241414	-0.1865961	25.663818
0.00081712886	0.51928627	-0.18667915	25.763916
-0.00047315151	-0.65519977	-0.18673813	25.864014
-0.00034148857	-1.4312186	-0.18673562	25.964111
5.2721647e-05	-1.9088655	-0.18667278	26.064209
-0.0003713207	-1.3189225	-0.18659914	26.164307
0.00048762321	-0.32837075	-0.18658045	26.264404
0.00011025503	0.69217026	-0.18661925	26.364502
0.00023827091	0.13401662	-0.18669981	26.4646
0.0002882643	-0.96495795	-0.18674588	26.564697
-0.00068746746	-1.852743	-0.18672903	26.664795
0.00042615592	-1.8294123	-0.1866519	26.764893
2.1414309e-05	-0.9230755	-0.18658781	26.86499
0.0012282631	-0.041487575	-0.18657549	26.965088
0.0011902354	0.67047435	-0.18663295	27.065186
-0.00010758505	-0.27641782	-0.18671457	27.165283
0.00024630263	-1.2008451	-0.18674453	27.265381
0.00053253531	-1.8020203	-0.18670942	27.365479
-0.00058366969	-1.6902711	-0.18663654	27.465576
0.00046844542	-0.41828731	-0.18658784	27.565674
0.0012687496	0.37431815	-0.18659543	27.665771
0.0013105473	0.71180999	-0.18665746	27.765869
-0.00045741588	-0.19201493	-0.18672581	27.865967
-0.00017265842	-1.4960672	-0.18674703	27.966064
-0.00043184549	-1.8729067	-0.186698	28.066162
-0.00011184678	-1.3724703	-0.18661492	28.16626
0.00066628814	-0.48753318	-0.18657748	28.266357
-0.00018560753	0.48082137	-0.18660696	28.366455
4.9607304e-05	0.3540633	-0.18668373	28.466553
0.0008176206	-0.87495023	-0.18674161	28.56665
0.00090580567	-1.8582112	-0.18673074	28.666748
